words,links,capital_words,spam_word_count,is_spam
66,0,0,1,0
88,3,2,2,0
161,5,8,6,1
732,6,27,7,1
162,5,5,9,1
39,2,1,0,0
188,2,9,3,0
294,0,2,6,0
962,10,8,3,1
632,0,24,4,1
89,1,2,1,0
139,1,0,3,0
240,1,1,1,0
235,0,0,1,0
145,2,2,0,0
195,2,0,0,0
304,10,12,5,1
865,4,1,10,1
196,1,2,6,0
212,9,6,8,1
579,9,17,7,1
162,0,3,1,0
252,2,2,2,0
312,2,2,2,0
197,0,1,2,0
460,2,13,8,1
25,0,2,0,0
433,4,3,10,1
90,2,1,1,0
370,0,2,2,0
144,0,2,2,0
195,2,0,1,0
101,8,29,7,1
451,2,18,7,1
621,10,28,2,1
77,2,0,0,0
720,5,9,3,1
141,0,1,1,0
99,2,3,3,0
291,1,2,4,0
357,6,15,7,1
47,3,1,5,0
796,3,25,2,1
193,2,3,1,0
288,2,2,2,0
33,1,1,1,0
191,1,1,2,0
221,0,2,1,0
972,8,1,8,1
979,5,1,7,1
930,0,8,7,1
129,1,3,4,0
465,6,12,6,1
242,0,1,1,0
454,9,27,9,1
33,1,6,1,0
953,10,29,7,1
784,4,19,9,1
266,2,5,4,0
293,1,2,1,0
198,9,6,10,1
223,9,30,1,1
299,0,2,0,0
333,2,2,4,0
75,3,7,6,1
186,8,1,7,1
217,2,3,2,0
49,1,2,1,0
937,2,10,7,1
274,4,23,4,1
244,5,7,3,1
69,1,1,2,0
208,7,15,10,1
121,10,19,0,1
397,2,11,1,1
221,0,6,1,0
720,7,8,10,1
534,7,21,6,1
169,0,0,2,0
117,2,3,4,0
193,4,1,2,0
314,8,28,2,1
171,1,7,0,0
816,7,20,10,1
26,2,1,1,0
143,10,28,8,1
290,10,18,0,1
446,0,4,2,0
637,2,27,6,1
677,7,28,7,1
106,7,8,3,1
80,0,2,6,0
158,6,19,1,1
49,0,0,0,0
274,1,2,2,0
179,5,9,9,1
281,1,2,0,0
973,9,27,9,1
640,5,4,5,1
700,6,22,4,1
142,9,24,10,1
359,0,0,0,1
694,5,24,4,1
785,5,17,4,1
45,2,3,2,0
435,2,0,1,0
459,1,0,2,0
82,1,3,2,0
63,2,17,0,1
502,6,4,5,1
372,1,2,2,0
247,5,2,1,0
35,1,0,2,0
385,3,25,8,1
133,0,0,1,0
28,1,2,2,0
104,1,10,0,0
89,4,29,3,1
235,10,5,2,1
166,4,1,2,0
189,5,5,7,1
57,1,10,2,0
382,4,1,6,0
97,2,1,1,0
260,2,7,1,0
234,2,2,1,0
158,2,1,2,0
393,10,5,4,1
208,2,8,1,0
195,5,1,1,0
532,7,25,4,1
125,0,0,0,0
507,3,3,10,1
876,7,0,8,1
67,2,0,0,0
226,4,8,9,1
797,9,9,6,1
368,2,16,2,1
832,8,2,10,1
195,3,12,9,1
158,6,20,10,1
141,1,2,1,0
244,2,2,2,0
667,1,1,7,1
70,2,5,2,0
202,3,8,6,1
898,9,8,4,1
83,2,1,0,0
181,2,0,2,0
230,0,1,0,0
197,0,2,0,0
813,9,11,0,1
360,3,0,1,0
149,6,25,5,1
80,2,3,0,0
126,2,0,2,0
223,0,6,0,0
802,2,15,3,1
658,6,27,10,1
763,6,1,3,1
159,3,0,2,0
661,4,21,4,1
754,2,12,5,1
74,2,3,0,0
176,4,5,5,1
324,8,19,10,1
406,0,1,0,0
438,3,1,3,1
101,0,1,6,0
723,7,13,10,1
247,2,4,5,0
891,9,28,0,1
174,0,24,4,1
93,1,5,2,0
88,4,2,2,0
100,2,0,2,0
923,2,17,1,1
132,0,1,0,0
376,8,19,8,1
165,0,2,0,0
350,9,7,1,1
255,2,26,1,1
159,1,1,1,0
589,2,3,10,1
180,0,25,10,1
291,3,0,6,0
188,1,1,1,0
226,0,3,0,0
202,2,0,0,0
157,2,13,5,1
226,1,6,2,0
124,1,1,2,0
212,0,0,2,0
245,0,1,2,0
192,1,3,0,0
892,7,3,4,1
286,3,23,3,1
260,2,10,2,0
138,5,14,0,1
60,1,3,0,0
50,1,3,0,0
884,9,30,10,1
169,1,2,6,0
182,2,0,2,0
92,3,29,10,1
78,1,1,2,0
826,7,5,0,1
130,0,0,0,0
849,0,30,2,1
50,1,1,0,0
61,0,10,3,0
167,0,0,1,0
124,9,7,5,1
115,1,3,1,0
133,2,0,0,0
238,0,2,2,0
161,5,5,0,0
789,0,14,0,1
203,0,10,2,0
162,4,1,4,0
409,0,3,3,0
198,2,2,0,0
515,3,14,10,1
275,10,28,3,1
679,10,7,6,1
259,7,0,5,1
268,4,1,1,0
496,4,4,0,1
422,5,1,0,0
115,1,2,0,0
987,1,2,1,1
123,3,2,2,0
344,1,0,0,0
472,9,20,1,1
474,1,2,2,0
217,2,30,7,1
169,0,2,3,0
309,3,3,10,1
448,2,10,4,0
688,8,6,1,1
995,10,7,9,1
57,7,5,1,1
264,7,3,9,1
34,1,2,0,0
269,0,0,0,0
872,7,1,10,1
336,3,3,4,0
665,8,6,5,1
521,1,5,9,1
174,2,1,1,0
481,10,22,6,1
290,1,0,0,0
176,1,2,1,0
191,1,0,2,0
28,0,1,0,0
76,4,0,2,0
298,2,1,6,0
147,4,2,4,1
924,8,15,10,1
327,0,3,0,0
469,4,3,5,1
167,2,0,1,0
114,8,0,3,1
296,0,0,5,0
310,0,2,8,1
69,0,2,2,0
32,0,4,2,0
865,9,5,3,1
260,1,0,2,0
120,3,20,4,1
266,1,3,0,0
922,6,7,10,1
250,2,8,1,0
404,5,10,1,1
140,0,2,1,0
154,2,2,2,0
291,4,1,10,1
673,1,19,3,1
87,2,2,1,0
545,5,23,10,1
538,3,20,5,1
779,0,6,2,1
31,0,8,4,0
153,2,3,1,0
130,1,3,2,0
896,3,17,8,1
465,4,12,4,1
177,10,6,3,1
127,0,3,6,0
63,1,2,0,0
103,10,5,7,1
647,3,22,8,1
499,4,0,1,1
495,1,1,3,0
200,2,6,0,0
125,2,6,0,0
328,10,1,4,1
157,0,5,4,0
211,5,3,1,0
73,3,1,0,0
184,2,10,2,0
453,6,8,7,1
714,9,30,7,1
142,0,1,10,1
126,3,21,9,1
291,5,1,0,0
176,0,7,6,0
204,1,1,3,0
73,1,3,1,0
163,6,23,3,1
425,1,2,0,0
760,10,9,7,1
514,5,7,10,1
167,2,3,4,0
340,1,3,6,0
261,1,3,0,0
596,9,29,7,1
252,10,17,9,1
255,2,3,2,0
174,1,2,2,0
293,2,0,1,0
247,2,2,0,0
910,8,4,1,1
274,0,19,6,1
283,0,2,1,0
89,1,3,2,0
141,2,3,0,0
538,2,16,0,1
269,0,3,2,0
165,4,3,1,0
953,8,14,3,1
58,4,3,2,0
336,2,9,9,1
614,4,28,0,1
271,1,0,2,0
238,3,11,9,1
489,1,4,5,1
449,2,0,8,1
452,3,14,4,1
56,3,1,5,1
220,9,24,2,1
456,0,5,1,0
658,3,16,10,1
551,0,21,8,1
742,6,23,6,1
166,0,9,0,0
248,3,19,6,1
274,2,0,1,0
298,2,6,1,0
129,7,18,2,1
694,3,23,5,1
501,2,9,8,1
238,2,2,5,0
199,4,24,8,1
272,10,8,4,1
156,1,1,1,0
212,2,0,6,0
298,0,1,1,0
198,1,7,3,0
982,6,8,8,1
190,2,27,9,1
238,0,10,0,0
108,10,20,5,1
207,2,2,2,0
268,2,1,1,0
657,5,28,3,1
157,2,16,10,1
71,5,2,1,0
198,5,27,0,1
318,2,19,10,1
209,4,2,4,1
638,2,13,10,1
375,2,0,0,0
837,5,2,6,1
710,9,14,0,1
257,0,2,2,0
62,0,10,2,0
160,9,20,0,1
109,2,5,2,1
892,9,20,3,1
943,7,30,4,1
289,9,4,10,1
395,1,3,4,0
799,2,5,8,1
136,9,10,3,1
638,5,22,3,1
322,5,2,1,0
144,0,0,9,1
574,4,27,8,1
130,2,3,0,0
349,3,6,10,1
961,9,30,6,1
287,4,2,0,0
977,7,8,4,1
196,1,1,2,0
944,2,7,10,1
445,2,3,2,0
100,7,21,6,1
284,0,3,6,0
164,10,16,8,1
277,3,0,1,0
243,10,23,7,1
482,6,10,4,1
98,2,0,3,0
65,5,2,2,0
331,2,2,4,0
192,3,16,3,1
158,10,26,4,1
180,9,3,10,1
46,1,5,1,0
143,9,27,4,1
277,2,1,2,0
290,3,2,2,0
157,2,24,6,1
363,0,2,0,0
298,3,22,8,1
137,1,3,0,0
363,8,9,9,1
167,3,29,3,1
58,0,2,2,0
391,2,2,6,0
885,1,25,4,1
214,2,0,6,0
92,1,1,1,0
301,8,23,10,1
113,2,1,1,0
839,2,7,9,1
245,5,6,7,1
249,7,10,9,1
184,3,2,2,0
273,2,3,1,0
199,5,17,2,1
189,10,26,4,1
488,8,20,1,1
252,2,1,1,0
190,3,2,4,0
226,2,0,1,0
972,7,13,5,1
547,1,14,3,1
224,1,6,2,0
532,9,15,10,1
681,7,22,1,1
218,2,2,1,0
133,1,5,0,0
686,5,23,9,1
731,10,3,0,1
372,8,6,9,1
629,9,21,1,1
264,1,4,1,0
60,1,3,0,0
256,0,1,1,0
275,0,1,3,0
736,3,3,9,1
398,2,3,4,0
106,8,3,6,1
122,4,0,4,0
287,5,14,10,1
171,1,1,1,0
245,0,0,0,0
118,0,1,5,1
195,0,0,1,0
463,8,7,8,1
342,1,2,0,0
963,5,24,1,1
790,9,13,1,1
191,2,0,2,0
254,1,1,0,0
42,2,3,2,0
375,1,6,1,0
240,0,3,5,0
418,0,2,2,0
161,1,3,1,0
162,4,2,5,0
733,7,9,9,1
701,4,7,7,1
206,5,3,1,0
96,0,1,6,0
371,0,4,6,1
816,9,12,5,1
250,4,19,5,1
51,2,24,3,1
891,3,18,4,1
116,2,24,1,1
641,1,8,7,1
247,3,3,8,1
57,3,24,6,1
624,9,11,9,1
759,8,11,8,1
192,2,30,7,1
78,2,3,2,0
203,2,24,2,1
220,3,13,3,1
96,1,0,0,0
356,2,1,8,1
176,0,2,0,0
252,0,0,1,0
458,1,3,9,1
616,3,8,7,1
295,2,1,3,0
43,2,1,1,0
138,9,5,9,1
289,0,1,1,0
270,0,1,1,0
32,4,3,2,0
217,2,1,1,0
477,2,29,3,1
198,1,3,0,0
179,0,3,0,0
589,3,24,5,1
245,1,5,5,1
216,1,0,1,0
134,4,15,7,1
38,2,6,1,0
295,0,2,1,0
282,1,0,0,0
84,3,7,2,0
313,10,28,10,1
98,8,16,2,1
777,5,0,7,1
825,3,22,10,1
376,4,30,10,1
440,4,4,2,0
240,8,0,9,1
126,4,3,1,0
638,10,20,2,1
158,9,12,7,1
225,2,1,2,0
398,1,0,1,0
110,5,0,2,0
482,3,16,6,1
163,0,0,2,0
105,1,2,1,0
810,6,15,4,1
137,3,3,2,0
492,10,5,3,1
174,1,28,6,1
283,0,2,0,0
170,8,23,4,1
653,6,21,2,1
107,1,0,2,0
163,2,25,3,1
261,6,5,5,1
108,6,9,2,1
132,0,0,1,0
165,1,1,1,0
155,4,15,10,1
247,2,0,0,0
612,6,9,0,1
116,1,3,0,0
292,1,3,0,0
178,3,20,3,1
272,0,3,0,0
168,4,13,2,1
71,6,14,5,1
479,1,0,1,0
895,2,23,2,1
280,2,2,2,0
170,2,11,10,1
275,2,26,7,1
188,7,10,7,1
905,4,5,8,1
113,4,1,5,0
710,8,12,9,1
105,1,2,0,0
497,1,8,1,0
70,2,7,2,0
116,1,5,0,0
376,2,26,7,1
694,2,16,7,1
277,9,24,8,1
56,2,3,0,0
278,5,2,0,0
490,1,2,6,0
379,0,1,0,0
159,1,8,0,0
288,4,0,4,0
81,1,1,2,0
279,6,10,7,1
866,3,15,3,1
119,4,4,3,1
367,2,2,1,0
483,0,15,7,1
78,0,7,1,0
386,10,26,2,1
161,1,3,1,0
610,8,20,5,1
933,2,7,3,1
93,9,22,1,1
172,9,2,6,1
360,2,1,5,0
101,3,0,1,1
158,1,10,1,0
297,9,14,3,1
647,7,22,9,1
828,8,12,4,1
74,1,1,0,0
439,3,27,9,1
455,1,3,0,0
335,4,21,9,1
190,10,1,4,1
87,0,1,0,0
823,5,9,9,1
115,6,4,3,1
252,1,2,2,0
136,0,6,2,0
35,5,3,1,0
38,1,0,1,0
297,10,22,7,1
125,5,28,5,1
792,2,18,3,1
252,2,0,0,0
842,2,23,0,1
187,2,3,0,0
979,8,28,5,1
534,1,29,3,1
119,0,3,1,0
30,1,3,0,0
85,6,4,3,1
212,5,2,0,0
142,9,3,5,1
446,0,2,0,0
100,1,1,1,0
141,1,10,0,0
207,0,0,2,0
451,2,19,3,1
676,5,24,5,1
205,1,5,6,0
274,0,3,1,0
668,9,1,5,1
743,10,15,10,1
543,10,9,8,1
314,0,2,0,0
121,10,23,7,1
560,1,3,8,1
393,7,20,4,1
254,0,1,2,0
387,3,19,3,1
125,6,24,5,1
82,5,21,0,1
62,2,3,0,0
151,2,3,6,0
52,0,2,2,0
76,1,2,0,0
23,4,2,6,0
316,3,0,7,1
232,10,26,3,1
198,3,22,10,1
212,2,0,0,0
22,5,1,0,0
352,4,15,4,1
298,0,2,0,0
154,9,25,10,1
378,2,2,1,0
269,0,1,0,0
141,7,19,3,1
192,3,9,9,1
889,3,16,8,1
182,9,27,0,1
982,4,15,5,1
232,2,30,6,1
268,0,0,2,0
865,10,5,6,1
719,9,2,8,1
28,1,2,0,0
727,2,1,10,1
687,2,23,3,1
45,2,0,1,0
23,0,3,2,0
272,1,0,0,0
284,1,3,2,0
441,0,3,2,0
217,1,2,1,0
475,5,8,3,1
866,7,5,8,1
193,2,1,1,1
73,8,11,9,1
699,2,24,5,1
848,2,1,4,1
199,7,5,4,1
199,2,2,1,0
121,0,9,6,0
217,2,3,2,0
189,1,2,1,0
59,2,13,9,1
198,3,19,4,1
396,4,16,4,1
898,2,3,7,1
300,1,3,0,0
744,7,17,0,1
333,2,0,2,0
249,0,2,4,0
202,2,3,0,0
48,0,0,1,0
131,2,6,6,1
263,2,1,1,0
111,1,3,1,0
258,1,1,1,0
279,0,3,1,0
134,2,3,2,0
137,2,2,0,0
582,9,9,3,1
112,2,6,0,0
156,1,3,2,0
919,0,16,8,1
917,6,2,3,1
750,8,5,10,1
953,8,9,4,1
174,4,3,4,0
565,7,15,5,1
248,2,1,2,0
160,5,16,5,1
59,5,3,1,0
111,0,1,6,0
194,2,2,4,0
913,8,3,8,1
262,1,2,0,0
102,1,2,0,0
479,2,2,5,0
394,3,4,3,1
125,2,0,2,0
33,1,3,1,0
125,8,28,4,1
265,2,1,2,0
177,3,19,4,1
531,0,6,3,1
601,2,25,5,1
585,9,9,0,1
911,3,18,8,1
406,6,13,1,1
118,7,24,7,1
344,8,14,4,1
195,5,23,2,1
505,10,3,6,1
57,5,12,7,1
455,2,3,1,0
181,0,2,2,0
284,9,26,6,1
171,3,15,6,1
473,10,11,4,1
33,2,0,5,0
42,1,3,1,0
219,4,0,2,0
312,3,3,2,0
637,3,30,1,1
150,1,10,1,0
414,3,26,10,1
996,8,7,7,1
214,0,3,1,0
962,10,24,3,1
757,9,30,3,1
827,0,26,2,1
638,4,5,9,1
295,2,1,1,0
45,1,2,1,0
524,2,11,4,1
56,10,2,4,1
300,1,4,1,0
239,2,1,4,0
26,1,2,1,0
163,1,1,3,0
498,7,10,5,1
81,10,0,8,1
207,0,2,0,0
149,3,5,10,1
508,10,25,5,1
270,0,4,5,0
123,3,4,7,1
205,1,2,0,0
164,7,10,6,1
686,8,14,10,1
864,9,29,4,1
89,2,1,0,0
427,3,3,0,0
862,3,2,4,1
290,0,9,3,0
275,0,8,4,0
96,1,2,6,0
291,2,2,4,0
395,4,6,10,1
217,8,24,2,1
111,2,7,3,1
25,1,2,1,0
72,2,3,2,0
111,0,3,3,0
136,6,18,4,1
186,10,28,6,1
418,1,1,2,0
112,1,2,2,0
415,2,3,1,0
188,1,0,2,0
297,4,21,7,1
898,10,25,3,1
288,1,2,4,0
425,0,2,1,0
426,1,0,0,0
57,5,16,6,1
123,10,9,4,1
88,1,5,1,0
769,3,2,6,1
277,1,6,4,1
92,1,2,0,0
279,2,3,5,1
590,2,30,8,1
34,2,1,0,0
68,1,3,0,0
202,1,1,2,0
112,3,12,3,1
588,3,11,6,1
51,1,2,0,0
176,1,0,0,0
765,1,26,10,1
475,1,7,7,1
867,2,1,8,1
155,2,17,5,1
231,8,6,7,1
914,10,5,10,1
938,6,0,9,1
877,9,20,5,1
58,2,1,0,0
153,5,0,0,0
113,6,18,3,1
80,9,8,8,1
73,0,3,1,0
528,4,17,7,1
99,4,2,0,0
208,3,19,8,1
452,6,12,6,1
229,1,0,6,0
777,2,5,4,1
225,4,10,2,0
270,2,2,4,0
426,0,2,1,0
178,3,1,0,0
220,2,0,2,0
245,5,2,0,0
571,10,16,4,1
421,7,17,5,1
587,6,1,10,1
125,2,3,6,0
550,4,19,4,1
957,1,9,2,1
723,2,3,5,1
124,0,28,7,1
457,6,26,10,1
731,3,13,7,1
172,0,0,6,0
173,0,9,0,0
103,0,0,1,0
272,0,1,2,0
273,2,0,3,0
807,7,3,7,1
156,2,1,0,0
400,3,29,8,1
103,2,25,7,1
158,1,3,0,0
695,8,5,3,1
792,3,28,9,1
24,4,0,5,0
871,3,10,8,1
523,10,19,10,1
723,8,30,6,1
256,1,3,1,0
504,2,29,7,1
791,9,27,6,1
285,1,2,1,0
889,3,20,7,1
153,8,6,6,1
288,3,1,1,0
171,1,0,5,1
125,4,6,10,1
134,2,22,9,1
371,4,7,6,1
429,2,1,2,0
997,6,6,7,1
